Full fund name;Fund ISIN;Fund Manager;Fund size;Market sector;Morningstar category;Asset Class;Sharpe ratio 3 year;Standard deviation;OCF/TER(%);rating;(Current Yr-4);(Current Yr-3);(Current Yr-2);(Current Yr-1);(Current Yr);Fund code;Fund currency;Style;Buy;Sell;AMC(%);Distribution frequency;Distribution yield
Invesco Perpetual Global ex UK Enhanced Index Y Acc;GB00BZ8GWR50;Invesco Perpetual;417;Technology;Global Large-Cap Blend Equity;Global Equity;;;0.23;;;;;;;INGYA;GBP;Active;0.00 ;0.00 ;0.23;6months;
Invesco Perpetual Global ex UK Enhanced Index Y Inc;GB00BZ8GWS67;Invesco Perpetual;417;Technology;Global Large-Cap Blend Equity;Global Equity;;;0.23;;;;;;;INGYI;GBP;Active;0.00 ;0.00 ;0.23;6months;
Lazard US Equity Concentrated Fund C Acc GBP;IE00BDC5DB54;Lazard;483;Technology;US Large-Cap Blend Equity;North America;;;0.92;;;;;;;LZUCA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Baring German Growth Trust Class I GBP Hedged Acc;GB00BX8ZV605;Barings;518;Industrials;Europe Equity - Currency Hedged;Europe Equity excl UK;;;0.81;;;;;;;BIGHA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Newton Global Balanced Fund W Acc;GB00BD8YW204;Newton;646;Technology;;;;;0.67;;;;;;;NWGWA;GBP;Active;0.00 ;0.00 ;0.62;6months;
Newton Global Balanced Fund W Inc;GB00BD8YW196;Newton;646;Technology;;;;;0.67;;;;;;;NWGWI;GBP;Active;0.00 ;0.00 ;0.62;6months;
F&C MM Navigator Distribution Fund M Inc;GB00BZCTP049;F&C (BMO GAM);1251;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;;;1.46;;;;;;;TRNDI;GBP;Active;0.00 ;0.00 ;0.75;1month;
Fidelity Funds - Emerging Markets Fund W-GBP;LU1499161997;Fidelity;3696;Technology;Global Emerging Markets Equity;Emerging Markets Global Equity;;;1.09;;;;;;;WEMIA;GBP;Active;0.00 ;0.00 ;0.8;1year;
Fidelity Funds - Global Dividend Fund W-QINCOME(G)-GBP (hedged);LU1550162645;FIL Investment Management (Singapore)Ltd;3973;Financial Services;Global Equity - Currency Hedged;Global Equity;;;1.04;;;;;;;WGDSH;GBP;Active;0.00 ;0.00 ;0.8;Quarter;
iShares MSCI EM UCITS ETF USD Dist (GBP);IE00B0M63177;IShares;4081;Technology;Global Emerging Markets Equity;Emerging Markets Global Equity;0.68;16.02;0.75;;1.36;0.04;-0.18;2.48;;XIMEM;GBP;Passive;0.00 ;0.00 ;0.75;Quarter;
JPM Global Property Securities Fund C - Net Income;GB00B235R605;J.P. Morgan Asset Management;33;Real Estate;Property - Indirect Global;Property - Listed;0.4;12.01;0.93;;;10.78;5.76;8.95;-0.08;SPPSI;GBP;Active;0.00 ;0.00 ;0.75;6months;
Legg Mason IF Japan Equity Fund Class X Acc GBP;GB00B8JYLC77;Legg Mason;618;Technology;Japan Small/Mid-Cap Equity;Japan Equity;1.34;20.79;1.01;;68.25;3.65;24.97;82.07;-0.17;LMJEA;GBP;Active;0.00 ;0.00 ;0.75;1year;
Newton Real Return Fund Acc;GB00B8GG4B61;Newton;10506;Consumer Defensive;Alt - Multistrategy;Mixed Assets - Flexible;0.47;5.64;0.79;;4.89;5.34;2.07;8.06;-0.89;NWRRA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Newton Real Return Fund Inc;GB00B7W36529;Newton;10506;Consumer Defensive;Alt - Multistrategy;Mixed Assets - Flexible;0.47;5.64;0.79;;;5.34;2.08;8.07;-0.90;NWRRI;GBP;Active;0.00 ;0.00 ;0.75;6months;
BGF World Energy D4RF GBP;LU0630472362;BlackRock;1628;Energy;Sector Equity Energy;Global Equity;-0.33;18.68;1.32;;10.18;12.72;-23.99;1.60;-0.96;BGWED;GBP;Active;0.00 ;0.00 ;1;1year;
JPM Global Macro Balanced Fund C Net Acc;GB00B235HC61;J.P. Morgan Asset Management;152;Technology;;;0.94;4.53;0.78;;5.94;5.90;8.67;5.46;-1.24;SPCRA;GBP;Active;0.00 ;0.00 ;0.6;Quarter;0.61
JPM Global Macro Balanced Fund C Net Inc;GB00B235HG00;J.P. Morgan Asset Management;148;Technology;;;0.94;4.56;0.78;3;6.19;5.84;8.63;5.56;-1.27;SPCRI;GBP;Active;0.00 ;0.00 ;0.6;Quarter;0.61
BlackRock Gold & General Fund Class D Inc;GB00B5ZNJ904;BlackRock;1232;Basic Materials;Sector Equity Precious Metals;Commodities - Precious Metals;0.33;38.3;1.17;;-41.00;9.86;-18.95;77.58;-13.78;BLGGD;GBP;Active;0.00 ;0.00 ;1;1year;
Smith & Williamson Global Gold and Resources Fund B Inc;GB00B3RJHY30;Smith & Williamson;35;Basic Materials;Sector Equity Precious Metals;Commodities - Precious Metals;0.27;36.43;0.72;;-38.58;19.07;-23.48;80.26;-15.20;SMGGI;GBP;Active;0.00 ;0.00 ;0.65;6months;
iShares Gold Producers UCITS ETF USD Acc (GBP);IE00B6R52036;IShares;342;Basic Materials;Sector Equity Precious Metals;Commodities - Precious Metals;0.33;46.17;0.55;3;-45.38;-0.48;-23.39;91.72;-18.59;XISCG;GBP;Passive;0.00 ;0.00 ;0.55;1year;
BGF World Gold Hedged D2RF GBP;LU0827889212;BlackRock;3770;Basic Materials;Sector Equity Other;Global Equity;0.1;36.96;1.31;;;21.91;-25.76;56.56;-18.64;BGWMD;GBP;Active;0.00 ;0.00 ;1;1year;
Marlborough ETF Commodity Fund P Acc;GB00B84RD695;Marlborough;13;Energy;Commodities - Broad Basket;Commodities - General;-0.37;13.72;1.13;;-1.48;-7.20;-20.47;2.48;-2.05;MHECA;GBP;Active;0.00 ;0.00 ;0.75;1year;
BlackRock Gold & General Fund Class D Acc;GB00B5ZNJ896;BlackRock;1232;Basic Materials;Sector Equity Precious Metals;Commodities - Precious Metals;0.33;38.34;1.17;;-41.15;10.48;-18.96;77.70;-13.82;MCGDA;GBP;Active;0.00 ;0.00 ;1;1year;
JPM Global Macro Opportunities C Acc;GB00B4WKYF80;J.P. Morgan Asset Management;767;Technology;Alt - Multistrategy;Mixed Assets - Flexible;1.09;7.97;0.78;;;2.32;21.23;6.61;-2.63;SPMCA;GBP;Active;0.00 ;0.00 ;0.6;1year;
JPM Global Macro Opportunities C Inc;GB00B44CT796;J.P. Morgan Asset Management;767;Technology;Alt - Multistrategy;Mixed Assets - Flexible;1.09;7.98;0.78;;;2.30;21.22;6.76;-2.66;SPMCI;GBP;Active;0.00 ;0.00 ;0.6;1year;
Franklin Diversified Income Fund Class W (Acc) GBP;GB00BKS8SK13;Franklin Templeton;16;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;-0.1;4.46;0.75;;;;6.29;-4.76;-2.80;TTIWA;GBP;Active;0.00 ;0.00 ;0.55;Quarter;
Franklin Diversified Income Fund Class W (Inc) GBP;GB00BKS8SJ08;Franklin Templeton;16;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;-0.1;4.46;0.75;;;;6.28;-4.68;-2.82;TTIWI;GBP;Active;0.00 ;0.00 ;0.55;Quarter;
ETFS Physical Gold ETC;JE00B1VS3770;ETF Securities;4410;Financial Services;Commodities - Precious Metals;Commodities - Precious Metals;0.46;18.9;0.39;;-16.62;-9.64;0.76;27.04;-3.58;XEPGD;GBP;Passive;0.00 ;0.00 ;0.39;1year;
Franklin Diversified Growth Fund Class W (Acc) GBP;GB00BKS8SF69;Franklin Templeton;4;Financial Services;GBP Flexible Allocation;Mixed Assets - Flexible;-0.31;5.8;0.85;;;;7.68;-9.11;-3.64;TTDWA;GBP;Active;0.00 ;0.00 ;0.65;Quarter;
iShares Physical Gold ETC;IE00B4ND3602;IShares;1923;;Commodities - Precious Metals;Commodities - Precious Metals;0.46;18.9;0.25;;-21.80;-3.81;-3.53;32.93;-3.85;XIPHG;GBP;Passive;0.00 ;0.00 ;0.25;1year;
TM Sanditon UK Select F Acc;GB00BTC2N411;Sanditon;0;Industrials;Alt - Long/Short Equity - UK;UK Equity;;;1;;;;;-0.61;-4.36;SAKFA;GBP;Active;0.00 ;0.00 ;0.75;6months;
TM Sanditon UK Select A Inc;GB00BNY7YL66;Sanditon;0;Industrials;Alt - Long/Short Equity - UK;UK Equity;;;1.63;;;;;-1.43;-4.92;SAUSI;GBP;Active;0.00 ;0.00 ;1.25;6months;
Old Mutual UK Opportunities Fund R GBP ACC;GB00BBQ2T214;Old Mutual;25;Industrials;Alt - Long/Short Equity - UK;UK Equity;-0.66;4.38;0.9;;9.66;10.42;1.60;-3.01;-4.95;OLUOR;GBP;Active;0.00 ;0.00 ;0.75;1year;
Old Mutual Gold and Silver Fund R Acc;IE00BYVJRH94;Old Mutual;144;Basic Materials;Sector Equity Precious Metals;Commodities - Precious Metals;;;1;;;;;;-4.96;OOGSA;GBP;Active;0.00 ;0.00 ;0.75;1year;
TM Sanditon UK Select A Acc;GB00BNY7YM73;Sanditon;0;Industrials;Alt - Long/Short Equity - UK;UK Equity;;;1.63;;;;;-1.25;-4.99;SAUSA;GBP;Active;0.00 ;0.00 ;1.25;6months;
Schroder ISF Global Energy Z GBP Inc;LU0969110765;Schroder;404;Energy;Sector Equity Energy;Global Equity;-0.48;31.18;1.07;;1.34;25.48;-38.49;-10.00;-6.22;SDEZI;GBP;Active;0.00 ;0.00 ;0.75;1year;
iShares Developed Markets Property Yield UCITS ETF USD Dist (GBP);IE00B1FZS350;IShares;2441;Real Estate;Property - Indirect Global;Property - Listed;0.92;15.5;0.59;5;10.80;-2.42;6.32;30.11;0.01;XIFDP;GBP;Passive;0.00 ;0.00 ;0.59;Quarter;
TM Sanditon European Select F Inc;GB00BNY7Y839;Sanditon;0;Industrials;Alt - Long/Short Equity - Europe;Europe Equity Single Country;;;1.13;;;;;-5.85;0.03;SASFI;GBP;Active;0.00 ;0.00 ;0.95;6months;
TM Sanditon European Select F Acc;GB00BNY7Y946;Sanditon;0;Industrials;Alt - Long/Short Equity - Europe;Europe Equity Single Country;;;1.13;;;;;-5.86;0.04;SASFA;GBP;Active;0.00 ;0.00 ;0.95;6months;
Aviva Investors Multi-Strategy Target Income Fund Class 2;GB00BQSBPF62;Aviva Investors;2438;Consumer Defensive;Alt - Multistrategy;Mixed Assets - Flexible;;;0.85;;;;;3.87;0.05;NUMTI;GBP;Active;0.00 ;0.00 ;0.75;1month;
JPM Global Property Securities Fund C - Net Accumulation;GB00B235R373;J.P. Morgan Asset Management;33;Real Estate;Property - Indirect Global;Property - Listed;0.41;12.1;0.93;;19.01;10.76;5.73;9.26;0.07;SPPSA;GBP;Active;0.00 ;0.00 ;0.75;6months;
ETFS Physical PM Basket ETC;JE00B1VS3W29;ETF Securities;91;;Commodities - Precious Metals;Commodities - Precious Metals;0.3;19.22;0.44;;-18.18;-0.97;-11.19;27.25;0.56;XEPPB;GBP;Passive;0.00 ;0.00 ;0.44;1year;
BlackRock Managed Index Portfolios - Defensive;LU1191062733;BlackRock;51;Financial Services;Other Allocation;Mixed Assets - Balanced;;;0.5;;;;;6.44;0.79;BMIPD;GBP;Active;0.00 ;0.00 ;0.37;1year;
Standard Life Investments Global SICAV Global Focused Strategies Fund B GBP Acc Hedged;LU1327127863;Standard Life;395;Consumer Cyclical;Alt - Multistrategy;Mixed Assets - Flexible;;;1.35;;;;;;1.03;SOGBA;GBP;Active;0.00 ;0.00 ;1.25;1year;
Jupiter Absolute Return Fund I Class Acc;GB00B6Q84T67;Jupiter;1208;Financial Services;Alt - Multistrategy;Mixed Assets - Flexible;0.74;5.89;0.85;;-0.29;3.06;1.10;11.48;1.10;JUAIA;GBP;Active;0.00 ;0.00 ;0.62;1year;
Waverton Alternatives Fund P GBP Acc;IE00BGCYWX85;Waverton;30;Consumer Cyclical;Alt - Multistrategy;Mixed Assets - Flexible;0.43;2.66;1.67;;;;4.31;-1.29;1.43;WVAFP;GBP;Active;0.00 ;0.00 ;0.4;6months;
Kames Absolute Return Bond C (Acc) GBP;IE00B6SLQ646;Kames;2029;Financial Services;Alt - Long/Short Debt;Global Aggregate Bond;1.32;0.72;0.52;;2.42;2.15;1.33;1.22;1.46;AEACA;GBP;Active;0.00 ;0.00 ;0.5;Quarter;1.07
Nordea-1 GBP Diversified Return Fund BC GBP;LU1224690856;Nordea Investment Management AB;1341;Healthcare;GBP Moderate Allocation;Mixed Assets - Balanced;;;0.74;;;;;;1.69;NODBA;GBP;Active;0.00 ;0.00 ;0.7;1year;
Aviva Investors Multi-Strategy Target Return Fund Class 2;GB00BMJ6DT26;Aviva Investors;4937;Energy;Alt - Multistrategy;Alternatives;0.68;3.61;0.85;;;;;-0.22;1.75;NUMTA;GBP;Active;0.00 ;0.00 ;0.75;1year;
HSBC Global Property Fund Inc C;GB00B702WG47;HSBC;334;Real Estate;Property - Indirect Global;Property - Listed;1.1;7.6;1.21;;14.48;6.23;9.21;16.66;1.82;HCGPI;GBP;Active;0.00 ;0.00 ;0.55;6months;
HSBC Global Property Fund Acc C;GB00B84L7Q94;HSBC;334;Real Estate;Property - Indirect Global;Property - Listed;1.1;7.57;1.21;;13.58;6.29;9.18;16.54;1.86;HCGPA;GBP;Active;0.00 ;0.00 ;0.55;6months;
Kames Absolute Return Bond Global Fund B GBP Acc;IE00BVVQ0148;Kames;98;Financial Services;Alt - Debt Arbitrage;Other;;;0.66;;;;;0.52;1.97;AERBA;GBP;Active;0.00 ;0.00 ;0.55;Quarter;1.21
Kames Absolute Return Bond Global Fund B GBP Inc;IE00BVVQ0585;Kames;98;Financial Services;Alt - Debt Arbitrage;Other;;;0.66;;;;;0.52;1.97;AERBI;GBP;Active;0.00 ;0.00 ;0.55;Quarter;1.21
Aberdeen Diversified Income & Growth Trust PLC;GB0001297562;Aberdeen;356;Industrials;GBP Flexible Allocation;Mixed Assets - Flexible;0.2;7.64;0.7;;;;;-4.49;10.01;BISTL;GBP;Active;0.50 ;0.00 ;0.4;Quarter;
Investec Diversified Growth J Acc Net GBP;GB00BD5J0S08;Investec;2139;Industrials;GBP Flexible Allocation;Mixed Assets - Flexible;0.85;5.27;0.81;;;;7.57;-2.47;10.01;ICDRA;GBP;Active;0.00 ;0.00 ;0.65;1year;
First State Asian Property Securities B Acc;GB00B1F76J34;First State;10;Real Estate;Property - Indirect Asia;Property - Listed;0.84;12.3;1.55;3;24.88;-5.76;13.55;11.47;10.08;FTPPA;GBP;Active;0.00 ;0.00 ;0.75;6months;
Kames Diversified Growth Fund B Acc;GB00B625LX43;Kames;318;Real Estate;;;1.04;6.2;0.6;1;-0.76;2.43;9.49;-0.30;10.08;AEINA;GBP;Active;0.00 ;0.00 ;0.55;Quarter;0
HSBC World Selection Income Portfolio C Acc;GB00B82SVC61;HSBC;550;Financial Services;;;1.23;5.59;1.02;;7.88;4.79;5.21;4.80;10.10;HSWPA;GBP;Active;0.00 ;0.00 ;0.55;Quarter;
CF Prudential Dynamic Focused 0-30 Portfolio P Inc;GB00BF232G18;Prudential;274;Financial Services;;;1.49;4.54;0.83;;;;0.90;8.10;10.11;PRMVI;GBP;Active;0.00 ;0.00 ;0.6;1year;1.91
JOHCM UK Opportunities Fund Y Dist;GB00B95J5C19;J O Hambro;1476;Utilities;UK Large-Cap Blend Equity;UK Equity;0.99;8.15;0.68;4;;13.30;4.92;8.74;10.11;JOUYD;GBP;Active;0.00 ;0.00 ;0.62;1year;
CF Prudential Dynamic Focused 0-30 Portfolio P Acc;GB00BF232F01;Prudential;276;Financial Services;;;1.44;4.42;0.83;;9.08;5.77;0.31;7.43;10.12;PRMVA;GBP;Active;0.00 ;0.00 ;0.6;1year;1.91
Aviva Investors Distribution Fund SC 2 Inc;GB0030442320;Aviva Investors;267;Financial Services;;;1.15;6.22;0.73;;14.28;8.76;5.59;4.82;10.17;NUDII;GBP;Active;0.00 ;0.00 ;0.6;Quarter;3.1
Kames Ethical Cautious Managed B Inc;GB00B7TCPG66;Kames;583;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.93;7.13;0.79;;;11.73;10.80;-1.64;10.22;AECMI;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
Kames Ethical Cautious Managed B Acc;GB00B7V2CD05;Kames;583;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.93;7.14;0.79;;18.16;11.75;10.81;-1.62;10.23;AECMA;GBP;Active;0.00 ;0.00 ;0.75;Quarter;
JOHCM UK Opportunities Fund Y Acc;GB00B95HP811;J O Hambro;1476;Utilities;UK Large-Cap Blend Equity;UK Equity;0.99;8.14;0.68;4;;13.41;4.91;8.59;10.24;JOUYA;GBP;Active;0.00 ;0.00 ;0.62;1year;
Artemis Strategic Bond Fund Class MI Accumulation Units;GB00BJT0KV40;Artemis;1108;Energy;Global Flexible Bond - GBP Hedged;UK Aggregate Bond;1.45;3.91;0.58;;10.23;9.87;2.24;2.54;10.26;ATSBA;GBP;Active;0.00 ;0.00 ;0.5;1month;4
Artemis Strategic Bond Fund Class MI Inc;GB00B2PLJS27;Artemis;1108;Energy;Global Flexible Bond - GBP Hedged;UK Aggregate Bond;1.46;3.91;0.58;;10.71;10.25;2.25;2.55;10.26;ATSBI;GBP;Active;0.00 ;0.00 ;0.5;1month;4.17
Newton Managed Income Institutional W Inc;GB00B8HF2D04;Newton;105;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.96;6.61;0.8;;;5.62;0.68;8.48;10.31;NWMGI;GBP;Active;0.00 ;0.00 ;0.62;Quarter;
Threadneedle Managed Equity & Bond Fund Z Acc;GB00BRTM3J51;Columbia Threadneedle;1414;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.3;5.8;0.77;;11.32;5.87;5.44;7.76;10.31;THENA;GBP;Active;0.00 ;0.00 ;0.65;1year;
Newton Managed Income Institutional W Acc;GB00B8L58J49;Newton;105;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;0.96;6.61;0.8;;11.48;5.61;0.68;8.48;10.32;NWMGA;GBP;Active;0.00 ;0.00 ;0.62;Quarter;
M&G Optimal Income Fund I Inc;GB00B1H05601;M&G;19873;Consumer Cyclical;GBP Cautious Allocation;Bonds;1.1;3.84;0.91;4;10.03;9.51;0.85;1.23;10.32;MEOII;GBP;Active;0.00 ;0.00 ;0.75;6months;3.03
Close Diversified Income Portfolio Fund - X (Accumulation);GB00B708TJ43;Close Brothers;678;Industrials;GBP Moderate Allocation;Mixed Assets - Balanced;1.41;3.78;0.68;;8.26;8.03;3.40;3.15;10.36;CLDXA;GBP;Active;0.00 ;0.00 ;0.6;Quarter;
Artemis Strategic Bond Fund Class QI Acc;GB00B2PLJR10;Artemis;1108;Energy;Global Flexible Bond - GBP Hedged;UK Aggregate Bond;1.41;4.02;0.58;;10.68;10.26;2.23;2.54;10.36;ATSFA;GBP;Active;0.00 ;0.00 ;0.5;Quarter;3.99
Fidelity Multi Asset Balanced Income Fund N-Income-Gross;GB00BFPC0832;Fidelity;24;Financial Services;GBP Moderate Allocation;Mixed Assets - Balanced;1.5;4.77;1.01;;;;4.94;7.12;10.38;NMABG;GBP;Active;0.00 ;0.00 ;0.5;1month;
Artemis Strategic Bond Fund Class QI Distribution Units;GB00BJT0KT28;Artemis;1108;Energy;Global Flexible Bond - GBP Hedged;UK Aggregate Bond;1.41;4.03;0.58;;10.26;8.61;2.25;2.56;10.38;ATSQI;GBP;Active;0.00 ;0.00 ;0.5;Quarter;4.04
First State Asian Property Securities B Inc;GB00B1F76K49;First State;10;Real Estate;Property - Indirect Asia;Property - Listed;0.85;12.32;1.28;3;24.86;-5.79;13.49;11.62;10.40;FTPPI;GBP;Active;0.00 ;0.00 ;0.75;6months;
SPDR S&P US Dividend Aristocrats UCITS ETF;IE00B6YX5D40;State Street Global Advisors;2073;Financial Services;US Large-Cap Value Equity;North American Equity;1.7;11.47;0.35;4;23.82;3.78;11.14;33.53;10.42;XSUAI;GBP;Passive;0.00 ;0.00 ;0.35;Quarter;
Carmignac Portfolio Investissement F GBP Acc Hdg;LU0992626134;Carmignac Gestion;371;Financial Services;Global Equity - Currency Hedged;Global Equity;0.65;11.49;1.15;;10.97;11.50;24.52;-11.63;10.43;CPIFH;GBP;Active;0.00 ;0.00 ;0.85;1year;
Close Diversified Income Portfolio Fund - X (Income);GB00B5N0YZ48;Close Brothers;680;Industrials;GBP Moderate Allocation;Mixed Assets - Balanced;1.31;3.83;0.69;;8.43;7.98;3.40;3.16;10.43;CLDXI;GBP;Active;0.00 ;0.00 ;0.6;Quarter;
M&G Global High Yield Bond Fund I Inc;GB00B6ZD1B32;M&G;1189;Consumer Cyclical;Global High Yield Bond - GBP Hedged;UK High Yield Bond;0.82;5.76;0.81;;11.63;11.49;-0.50;1.87;10.47;MGHII;GBP;Active;0.00 ;0.00 ;0.65;1month;4.97
Fidelity Multi Asset Growth Fund N-Accumulation;GB00B6YWRT10;Fidelity;496;Real Estate;;;1.17;6.96;0.83;;13.01;5.58;9.22;5.21;10.49;NMGRA;GBP;Active;0.00 ;0.00 ;0.5;1year;
Carmignac Portfolio Patrimoine F GBP Acc;LU0992627884;Carmignac Gestion;1904;Financial Services;EUR Moderate Allocation - Global;Mixed Assets - Balanced;0.87;9.7;1.15;;;;0.99;12.57;10.51;CPPFA;GBP;Active;0.00 ;0.00 ;0.85;1year;
