"","Holding","Fund ISIN","Fund Manager","Fund size","Market sector","Morningstar category","Asset Class","Sharpe ratio 3 year","Standard deviation","OCF/TER(%)","rating","(Current Yr-4)","(Current Yr-3)","(Current Yr-2)","(Current Yr-1)","(Current Yr)","Fund code","Fund currency","Style","Buy","Sell","AMC(%)","Distribution frequency","Distribution yield","HoldingM"
"13","Liontrust European Enhanced Income Fund¾I Inc","GB00BD2WZ766","Liontrust",59,"Financial Services","Europe Equity - Currency Hedged","Europe Equity excl UK",NA,NA,0.9,NA,NA,NA,NA,NA,NA,"LTEII","GBP","Active",0,0,0.75,"Quarter",NA,"LiontrustEuropeanEnhancedIncomeFundü¾™–ˆ¼IInc"
"14","M&G Global Target Return Fund I Accumulation","GB00BYM55C75","M&G",59,"Financial Services","Alt - Multistrategy","Mixed Assets - Flexible",NA,NA,0.71,NA,NA,NA,NA,NA,NA,"MGTIA","GBP","Active",0,0,0.5,"1year",NA,"M&GGlobalTargetReturnFundIAccumulation"
"15","Invesco Perpetual UK Enhanced Index Y Acc","GB00BZ8GWW04","Invesco Perpetual",86,"Financial Services","UK Large-Cap Blend Equity","UK Equity",NA,NA,0.23,NA,NA,NA,NA,NA,NA,"INUYA","GBP","Active",0,0,0.23,"6months",NA,"InvescoPerpetualUKEnhancedIndexYAcc"
"16","Invesco Perpetual UK Enhanced Index Y Inc","GB00BZ8GWX11","Invesco Perpetual",86,"Financial Services","UK Large-Cap Blend Equity","UK Equity",NA,NA,0.23,NA,NA,NA,NA,NA,NA,"INUYI","GBP","Active",0,0,0.23,"6months",NA,"InvescoPerpetualUKEnhancedIndexYInc"
"17","Fidelity US Quality Income UCITS ETF - Acc","IE00BYXVGY31","Fidelity",98,"Technology","US Large-Cap Value Equity","North American Equity",NA,NA,0.3,NA,NA,NA,NA,NA,NA,"FUSR","GBP","Passive",0,0,0.3,"Quarter",NA,"FidelityUSQualityIncomeUCITSETF-Acc"
"18","Fidelity US Quality Income UCITS ETF - Inc","IE00BYXVGX24","Fidelity",98,"Technology","US Large-Cap Value Equity","North American Equity",NA,NA,0.3,NA,NA,NA,NA,NA,NA,"FUSQ","GBP","Passive",0,0,0.3,"Quarter",NA,"FidelityUSQualityIncomeUCITSETF-Inc"
"19","Waverton Global Core Equity Fund P Inc Nav","IE00BD0FGK79","Waverton",101,"Financial Services","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.65,NA,NA,NA,NA,NA,NA,"WVGCP","GBP","Active",0,0,0.4,"6months",NA,"WavertonGlobalCoreEquityFundPIncNav"
"20","Liontrust European Income Fund¾I Inc","GB00BD2WZ329","Liontrust",180,"Financial Services","Europe ex-UK Large-Cap Equity","Europe Equity excl UK",NA,NA,0.88,NA,NA,NA,NA,NA,NA,"LTUII","GBP","Active",0,0,0.75,"Quarter",NA,"LiontrustEuropeanIncomeFundü¾™–ˆ¼IInc"
"21","SVS Cornelian Managed Growth RMP G Acc","GB00BD72ZY86","Cornelian Asset Managers Ltd",220,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",NA,NA,0.75,NA,NA,NA,NA,NA,NA,"CORGA","GBP","Active",0,0,0.5,"Quarter",NA,"SVSCornelianManagedGrowthRMPGAcc"
"22","SVS Cornelian Managed Growth RMP G Inc","GB00BD6FSM77","Cornelian Asset Managers Ltd",220,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",NA,NA,0.75,NA,NA,NA,NA,NA,NA,"CORGI","GBP","Active",0,0,0.5,"Quarter",NA,"SVSCornelianManagedGrowthRMPGInc"
"23","Legg Mason IF RARE Global Infrastructure Income Fund X Inc Hedged","GB00BD3FVS79","Legg Mason",303,"Utilities","Sector Equity Other","Global Equity",NA,NA,1.08,NA,NA,NA,NA,NA,NA,"LMIHI","GBP","Active",0,0,0.75,"Quarter",NA,"LeggMasonIFRAREGlobalInfrastructureIncomeFundXIncHedged"
"24","Legg Mason IF RARE Global Infrastructure Income X Acc","GB00BZ01WV25","Legg Mason",303,"Utilities","Sector Equity Infrastructure","Global Equity",NA,NA,0.9,NA,NA,NA,NA,NA,NA,"LMIXA","GBP","Active",0,0,0.75,"Quarter",NA,"LeggMasonIFRAREGlobalInfrastructureIncomeXAcc"
"25","Legg Mason IF RARE Global Infrastructure Income X Inc","GB00BZ01WT03","Legg Mason",303,"Utilities","Sector Equity Infrastructure","Global Equity",NA,NA,0.9,NA,NA,NA,NA,NA,NA,"LMIXI","GBP","Active",0,0,0.75,"Quarter",NA,"LeggMasonIFRAREGlobalInfrastructureIncomeXInc"
"26","ETFS Physical Silver","JE00B1VS3333","ETF Securities",793,"Financial Services","Commodities - Precious Metals","Commodities - Precious Metals",0.13,25.02,0.49,NA,-27.96,-4.38,-18.82,39.16,-8.4,"XEPSD","GBP","Passive",0,0,0.49,"1year",NA,"ETFSPhysicalSilver"
"27","Legg Mason IF RARE Global Infrastructure Income Fund X Acc Hedged","GB00BD3FVT86","Legg Mason",303,"Utilities","Sector Equity Other","Global Equity",NA,NA,1.08,NA,NA,NA,NA,NA,NA,"LMIHA","GBP","Active",0,0,0.75,"Quarter",NA,"LeggMasonIFRAREGlobalInfrastructureIncomeFundXAccHedged"
"28","Invesco Perpetual Global ex UK Enhanced Index Y Acc","GB00BZ8GWR50","Invesco Perpetual",417,"Technology","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.23,NA,NA,NA,NA,NA,NA,"INGYA","GBP","Active",0,0,0.23,"6months",NA,"InvescoPerpetualGlobalexUKEnhancedIndexYAcc"
"29","Invesco Perpetual Global ex UK Enhanced Index Y Inc","GB00BZ8GWS67","Invesco Perpetual",417,"Technology","Global Large-Cap Blend Equity","Global Equity",NA,NA,0.23,NA,NA,NA,NA,NA,NA,"INGYI","GBP","Active",0,0,0.23,"6months",NA,"InvescoPerpetualGlobalexUKEnhancedIndexYInc"
"30","Lazard US Equity Concentrated Fund C Acc GBP","IE00BDC5DB54","Lazard",483,"Technology","US Large-Cap Blend Equity","North America",NA,NA,0.92,NA,NA,NA,NA,NA,NA,"LZUCA","GBP","Active",0,0,0.75,"6months",NA,"LazardUSEquityConcentratedFundCAccGBP"
"31","Baring German Growth Trust Class I GBP Hedged Acc","GB00BX8ZV605","Barings",518,"Industrials","Europe Equity - Currency Hedged","Europe Equity excl UK",NA,NA,0.81,NA,NA,NA,NA,NA,NA,"BIGHA","GBP","Active",0,0,0.75,"1year",NA,"BaringGermanGrowthTrustClassIGBPHedgedAcc"
"32","Newton Global Balanced Fund W Acc","GB00BD8YW204","Newton",646,"Technology","","",NA,NA,0.67,NA,NA,NA,NA,NA,NA,"NWGWA","GBP","Active",0,0,0.62,"6months",NA,"NewtonGlobalBalancedFundWAcc"
"33","Newton Global Balanced Fund W Inc","GB00BD8YW196","Newton",646,"Technology","","",NA,NA,0.67,NA,NA,NA,NA,NA,NA,"NWGWI","GBP","Active",0,0,0.62,"6months",NA,"NewtonGlobalBalancedFundWInc"
"34","F&C MM Navigator Distribution Fund M Inc","GB00BZCTP049","F&C (BMO GAM)",1251,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",NA,NA,1.46,NA,NA,NA,NA,NA,NA,"TRNDI","GBP","Active",0,0,0.75,"1month",NA,"F&CMMNavigatorDistributionFundMInc"
"35","Fidelity Funds - Emerging Markets Fund W-GBP","LU1499161997","Fidelity",3696,"Technology","Global Emerging Markets Equity","Emerging Markets Global Equity",NA,NA,1.09,NA,NA,NA,NA,NA,NA,"WEMIA","GBP","Active",0,0,0.8,"1year",NA,"FidelityFunds-EmergingMarketsFundW-GBP"
"36","Fidelity Funds - Global Dividend Fund W-QINCOME(G)-GBP (hedged)","LU1550162645","FIL Investment Management (Singapore)Ltd",3973,"Financial Services","Global Equity - Currency Hedged","Global Equity",NA,NA,1.04,NA,NA,NA,NA,NA,NA,"WGDSH","GBP","Active",0,0,0.8,"Quarter",NA,"FidelityFunds-GlobalDividendFundW-QINCOME(G)-GBP(hedged)"
"37","iShares MSCI EM UCITS ETF USD Dist (GBP)","IE00B0M63177","IShares",4081,"Technology","Global Emerging Markets Equity","Emerging Markets Global Equity",0.68,16.02,0.75,NA,1.36,0.04,-0.18,2.48,NA,"XIMEM","GBP","Passive",0,0,0.75,"Quarter",NA,"iSharesMSCIEMUCITSETFUSDDist(GBP)"
"38","JPM Global Property Securities Fund C - Net Income","GB00B235R605","J.P. Morgan Asset Management",33,"Real Estate","Property - Indirect Global","Property - Listed",0.4,12.01,0.93,NA,NA,10.78,5.76,8.95,-0.08,"SPPSI","GBP","Active",0,0,0.75,"6months",NA,"JPMGlobalPropertySecuritiesFundC-NetIncome"
"39","Legg Mason IF Japan Equity Fund Class X Acc GBP","GB00B8JYLC77","Legg Mason",618,"Technology","Japan Small/Mid-Cap Equity","Japan Equity",1.34,20.79,1.01,NA,68.25,3.65,24.97,82.07,-0.17,"LMJEA","GBP","Active",0,0,0.75,"1year",NA,"LeggMasonIFJapanEquityFundClassXAccGBP"
"40","Newton Real Return Fund Acc","GB00B8GG4B61","Newton",10506,"Consumer Defensive","Alt - Multistrategy","Mixed Assets - Flexible",0.47,5.64,0.79,NA,4.89,5.34,2.07,8.06,-0.89,"NWRRA","GBP","Active",0,0,0.75,"6months",NA,"NewtonRealReturnFundAcc"
"41","Newton Real Return Fund Inc","GB00B7W36529","Newton",10506,"Consumer Defensive","Alt - Multistrategy","Mixed Assets - Flexible",0.47,5.64,0.79,NA,NA,5.34,2.08,8.07,-0.9,"NWRRI","GBP","Active",0,0,0.75,"6months",NA,"NewtonRealReturnFundInc"
"42","BGF World Energy D4RF GBP","LU0630472362","BlackRock",1628,"Energy","Sector Equity Energy","Global Equity",-0.33,18.68,1.32,NA,10.18,12.72,-23.99,1.6,-0.96,"BGWED","GBP","Active",0,0,1,"1year",NA,"BGFWorldEnergyD4RFGBP"
"43","JPM Global Macro Balanced Fund C Net Acc","GB00B235HC61","J.P. Morgan Asset Management",152,"Technology","","",0.94,4.53,0.78,NA,5.94,5.9,8.67,5.46,-1.24,"SPCRA","GBP","Active",0,0,0.6,"Quarter",0.61,"JPMGlobalMacroBalancedFundCNetAcc"
"44","JPM Global Macro Balanced Fund C Net Inc","GB00B235HG00","J.P. Morgan Asset Management",148,"Technology","","",0.94,4.56,0.78,3,6.19,5.84,8.63,5.56,-1.27,"SPCRI","GBP","Active",0,0,0.6,"Quarter",0.61,"JPMGlobalMacroBalancedFundCNetInc"
"45","BlackRock Gold & General Fund Class D Inc","GB00B5ZNJ904","BlackRock",1232,"Basic Materials","Sector Equity Precious Metals","Commodities - Precious Metals",0.33,38.3,1.17,NA,-41,9.86,-18.95,77.58,-13.78,"BLGGD","GBP","Active",0,0,1,"1year",NA,"BlackRockGold&GeneralFundClassDInc"
"46","Smith & Williamson Global Gold and Resources Fund B Inc","GB00B3RJHY30","Smith & Williamson",35,"Basic Materials","Sector Equity Precious Metals","Commodities - Precious Metals",0.27,36.43,0.72,NA,-38.58,19.07,-23.48,80.26,-15.2,"SMGGI","GBP","Active",0,0,0.65,"6months",NA,"Smith&WilliamsonGlobalGoldandResourcesFundBInc"
"47","iShares Gold Producers UCITS ETF USD Acc (GBP)","IE00B6R52036","IShares",342,"Basic Materials","Sector Equity Precious Metals","Commodities - Precious Metals",0.33,46.17,0.55,3,-45.38,-0.48,-23.39,91.72,-18.59,"XISCG","GBP","Passive",0,0,0.55,"1year",NA,"iSharesGoldProducersUCITSETFUSDAcc(GBP)"
"48","BGF World Gold Hedged D2RF GBP","LU0827889212","BlackRock",3770,"Basic Materials","Sector Equity Other","Global Equity",0.1,36.96,1.31,NA,NA,21.91,-25.76,56.56,-18.64,"BGWMD","GBP","Active",0,0,1,"1year",NA,"BGFWorldGoldHedgedD2RFGBP"
"49","Marlborough ETF Commodity Fund P Acc","GB00B84RD695","Marlborough",13,"Energy","Commodities - Broad Basket","Commodities - General",-0.37,13.72,1.13,NA,-1.48,-7.2,-20.47,2.48,-2.05,"MHECA","GBP","Active",0,0,0.75,"1year",NA,"MarlboroughETFCommodityFundPAcc"
"50","BlackRock Gold & General Fund Class D Acc","GB00B5ZNJ896","BlackRock",1232,"Basic Materials","Sector Equity Precious Metals","Commodities - Precious Metals",0.33,38.34,1.17,NA,-41.15,10.48,-18.96,77.7,-13.82,"MCGDA","GBP","Active",0,0,1,"1year",NA,"BlackRockGold&GeneralFundClassDAcc"
"51","JPM Global Macro Opportunities C Acc","GB00B4WKYF80","J.P. Morgan Asset Management",767,"Technology","Alt - Multistrategy","Mixed Assets - Flexible",1.09,7.97,0.78,NA,NA,2.32,21.23,6.61,-2.63,"SPMCA","GBP","Active",0,0,0.6,"1year",NA,"JPMGlobalMacroOpportunitiesCAcc"
"52","JPM Global Macro Opportunities C Inc","GB00B44CT796","J.P. Morgan Asset Management",767,"Technology","Alt - Multistrategy","Mixed Assets - Flexible",1.09,7.98,0.78,NA,NA,2.3,21.22,6.76,-2.66,"SPMCI","GBP","Active",0,0,0.6,"1year",NA,"JPMGlobalMacroOpportunitiesCInc"
"53","Franklin Diversified Income Fund Class W (Acc) GBP","GB00BKS8SK13","Franklin Templeton",16,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",-0.1,4.46,0.75,NA,NA,NA,6.29,-4.76,-2.8,"TTIWA","GBP","Active",0,0,0.55,"Quarter",NA,"FranklinDiversifiedIncomeFundClassW(Acc)GBP"
"54","Franklin Diversified Income Fund Class W (Inc) GBP","GB00BKS8SJ08","Franklin Templeton",16,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",-0.1,4.46,0.75,NA,NA,NA,6.28,-4.68,-2.82,"TTIWI","GBP","Active",0,0,0.55,"Quarter",NA,"FranklinDiversifiedIncomeFundClassW(Inc)GBP"
"55","ETFS Physical Gold ETC","JE00B1VS3770","ETF Securities",4410,"Financial Services","Commodities - Precious Metals","Commodities - Precious Metals",0.46,18.9,0.39,NA,-16.62,-9.64,0.76,27.04,-3.58,"XEPGD","GBP","Passive",0,0,0.39,"1year",NA,"ETFSPhysicalGoldETC"
"56","Franklin Diversified Growth Fund Class W (Acc) GBP","GB00BKS8SF69","Franklin Templeton",4,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",-0.31,5.8,0.85,NA,NA,NA,7.68,-9.11,-3.64,"TTDWA","GBP","Active",0,0,0.65,"Quarter",NA,"FranklinDiversifiedGrowthFundClassW(Acc)GBP"
"57","iShares Physical Gold ETC","IE00B4ND3602","IShares",1923,"","Commodities - Precious Metals","Commodities - Precious Metals",0.46,18.9,0.25,NA,-21.8,-3.81,-3.53,32.93,-3.85,"XIPHG","GBP","Passive",0,0,0.25,"1year",NA,"iSharesPhysicalGoldETC"
"58","TM Sanditon UK Select F Acc","GB00BTC2N411","Sanditon",0,"Industrials","Alt - Long/Short Equity - UK","UK Equity",NA,NA,1,NA,NA,NA,NA,-0.61,-4.36,"SAKFA","GBP","Active",0,0,0.75,"6months",NA,"TMSanditonUKSelectFAcc"
"59","TM Sanditon UK Select A Inc","GB00BNY7YL66","Sanditon",0,"Industrials","Alt - Long/Short Equity - UK","UK Equity",NA,NA,1.63,NA,NA,NA,NA,-1.43,-4.92,"SAUSI","GBP","Active",0,0,1.25,"6months",NA,"TMSanditonUKSelectAInc"
"60","Old Mutual UK Opportunities Fund R GBP ACC","GB00BBQ2T214","Old Mutual",25,"Industrials","Alt - Long/Short Equity - UK","UK Equity",-0.66,4.38,0.9,NA,9.66,10.42,1.6,-3.01,-4.95,"OLUOR","GBP","Active",0,0,0.75,"1year",NA,"OldMutualUKOpportunitiesFundRGBPACC"
"61","Old Mutual Gold and Silver Fund R Acc","IE00BYVJRH94","Old Mutual",144,"Basic Materials","Sector Equity Precious Metals","Commodities - Precious Metals",NA,NA,1,NA,NA,NA,NA,NA,-4.96,"OOGSA","GBP","Active",0,0,0.75,"1year",NA,"OldMutualGoldandSilverFundRAcc"
"62","TM Sanditon UK Select A Acc","GB00BNY7YM73","Sanditon",0,"Industrials","Alt - Long/Short Equity - UK","UK Equity",NA,NA,1.63,NA,NA,NA,NA,-1.25,-4.99,"SAUSA","GBP","Active",0,0,1.25,"6months",NA,"TMSanditonUKSelectAAcc"
"63","Schroder ISF Global Energy Z GBP Inc","LU0969110765","Schroder",404,"Energy","Sector Equity Energy","Global Equity",-0.48,31.18,1.07,NA,1.34,25.48,-38.49,-10,-6.22,"SDEZI","GBP","Active",0,0,0.75,"1year",NA,"SchroderISFGlobalEnergyZGBPInc"
"64","iShares Developed Markets Property Yield UCITS ETF USD Dist (GBP)","IE00B1FZS350","IShares",2441,"Real Estate","Property - Indirect Global","Property - Listed",0.92,15.5,0.59,5,10.8,-2.42,6.32,30.11,0.01,"XIFDP","GBP","Passive",0,0,0.59,"Quarter",NA,"iSharesDevelopedMarketsPropertyYieldUCITSETFUSDDist(GBP)"
"65","TM Sanditon European Select F Inc","GB00BNY7Y839","Sanditon",0,"Industrials","Alt - Long/Short Equity - Europe","Europe Equity Single Country",NA,NA,1.13,NA,NA,NA,NA,-5.85,0.03,"SASFI","GBP","Active",0,0,0.95,"6months",NA,"TMSanditonEuropeanSelectFInc"
"66","TM Sanditon European Select F Acc","GB00BNY7Y946","Sanditon",0,"Industrials","Alt - Long/Short Equity - Europe","Europe Equity Single Country",NA,NA,1.13,NA,NA,NA,NA,-5.86,0.04,"SASFA","GBP","Active",0,0,0.95,"6months",NA,"TMSanditonEuropeanSelectFAcc"
"67","Aviva Investors Multi-Strategy Target Income Fund Class 2","GB00BQSBPF62","Aviva Investors",2438,"Consumer Defensive","Alt - Multistrategy","Mixed Assets - Flexible",NA,NA,0.85,NA,NA,NA,NA,3.87,0.05,"NUMTI","GBP","Active",0,0,0.75,"1month",NA,"AvivaInvestorsMulti-StrategyTargetIncomeFundClass2"
"68","JPM Global Property Securities Fund C - Net Accumulation","GB00B235R373","J.P. Morgan Asset Management",33,"Real Estate","Property - Indirect Global","Property - Listed",0.41,12.1,0.93,NA,19.01,10.76,5.73,9.26,0.07,"SPPSA","GBP","Active",0,0,0.75,"6months",NA,"JPMGlobalPropertySecuritiesFundC-NetAccumulation"
"69","ETFS Physical PM Basket ETC","JE00B1VS3W29","ETF Securities",91,"","Commodities - Precious Metals","Commodities - Precious Metals",0.3,19.22,0.44,NA,-18.18,-0.97,-11.19,27.25,0.56,"XEPPB","GBP","Passive",0,0,0.44,"1year",NA,"ETFSPhysicalPMBasketETC"
"70","BlackRock Managed Index Portfolios - Defensive","LU1191062733","BlackRock",51,"Financial Services","Other Allocation","Mixed Assets - Balanced",NA,NA,0.5,NA,NA,NA,NA,6.44,0.79,"BMIPD","GBP","Active",0,0,0.37,"1year",NA,"BlackRockManagedIndexPortfolios-Defensive"
"71","Standard Life Investments Global SICAV Global Focused Strategies Fund B GBP Acc Hedged","LU1327127863","Standard Life",395,"Consumer Cyclical","Alt - Multistrategy","Mixed Assets - Flexible",NA,NA,1.35,NA,NA,NA,NA,NA,1.03,"SOGBA","GBP","Active",0,0,1.25,"1year",NA,"StandardLifeInvestmentsGlobalSICAVGlobalFocusedStrategiesFundBGBPAccHedged"
"72","Jupiter Absolute Return Fund I Class Acc","GB00B6Q84T67","Jupiter",1208,"Financial Services","Alt - Multistrategy","Mixed Assets - Flexible",0.74,5.89,0.85,NA,-0.29,3.06,1.1,11.48,1.1,"JUAIA","GBP","Active",0,0,0.62,"1year",NA,"JupiterAbsoluteReturnFundIClassAcc"
"73","Waverton Alternatives Fund P GBP Acc","IE00BGCYWX85","Waverton",30,"Consumer Cyclical","Alt - Multistrategy","Mixed Assets - Flexible",0.43,2.66,1.67,NA,NA,NA,4.31,-1.29,1.43,"WVAFP","GBP","Active",0,0,0.4,"6months",NA,"WavertonAlternativesFundPGBPAcc"
"74","Kames Absolute Return Bond C (Acc) GBP","IE00B6SLQ646","Kames",2029,"Financial Services","Alt - Long/Short Debt","Global Aggregate Bond",1.32,0.72,0.52,NA,2.42,2.15,1.33,1.22,1.46,"AEACA","GBP","Active",0,0,0.5,"Quarter",1.07,"KamesAbsoluteReturnBondC(Acc)GBP"
"75","Nordea-1 GBP Diversified Return Fund BC GBP","LU1224690856","Nordea Investment Management AB",1341,"Healthcare","GBP Moderate Allocation","Mixed Assets - Balanced",NA,NA,0.74,NA,NA,NA,NA,NA,1.69,"NODBA","GBP","Active",0,0,0.7,"1year",NA,"Nordea-1GBPDiversifiedReturnFundBCGBP"
"76","Aviva Investors Multi-Strategy Target Return Fund Class 2","GB00BMJ6DT26","Aviva Investors",4937,"Energy","Alt - Multistrategy","Alternatives",0.68,3.61,0.85,NA,NA,NA,NA,-0.22,1.75,"NUMTA","GBP","Active",0,0,0.75,"1year",NA,"AvivaInvestorsMulti-StrategyTargetReturnFundClass2"
"77","HSBC Global Property Fund Inc C","GB00B702WG47","HSBC",334,"Real Estate","Property - Indirect Global","Property - Listed",1.1,7.6,1.21,NA,14.48,6.23,9.21,16.66,1.82,"HCGPI","GBP","Active",0,0,0.55,"6months",NA,"HSBCGlobalPropertyFundIncC"
"78","HSBC Global Property Fund Acc C","GB00B84L7Q94","HSBC",334,"Real Estate","Property - Indirect Global","Property - Listed",1.1,7.57,1.21,NA,13.58,6.29,9.18,16.54,1.86,"HCGPA","GBP","Active",0,0,0.55,"6months",NA,"HSBCGlobalPropertyFundAccC"
"79","Kames Absolute Return Bond Global Fund B GBP Acc","IE00BVVQ0148","Kames",98,"Financial Services","Alt - Debt Arbitrage","Other",NA,NA,0.66,NA,NA,NA,NA,0.52,1.97,"AERBA","GBP","Active",0,0,0.55,"Quarter",1.21,"KamesAbsoluteReturnBondGlobalFundBGBPAcc"
"80","Kames Absolute Return Bond Global Fund B GBP Inc","IE00BVVQ0585","Kames",98,"Financial Services","Alt - Debt Arbitrage","Other",NA,NA,0.66,NA,NA,NA,NA,0.52,1.97,"AERBI","GBP","Active",0,0,0.55,"Quarter",1.21,"KamesAbsoluteReturnBondGlobalFundBGBPInc"
"81","Aberdeen Diversified Income & Growth Trust PLC","GB0001297562","Aberdeen",356,"Industrials","GBP Flexible Allocation","Mixed Assets - Flexible",0.2,7.64,0.7,NA,NA,NA,NA,-4.49,10.01,"BISTL","GBP","Active",0.5,0,0.4,"Quarter",NA,"AberdeenDiversifiedIncome&GrowthTrustPLC"
"82","Investec Diversified Growth J Acc Net GBP","GB00BD5J0S08","Investec",2139,"Industrials","GBP Flexible Allocation","Mixed Assets - Flexible",0.85,5.27,0.81,NA,NA,NA,7.57,-2.47,10.01,"ICDRA","GBP","Active",0,0,0.65,"1year",NA,"InvestecDiversifiedGrowthJAccNetGBP"
"83","First State Asian Property Securities B Acc","GB00B1F76J34","First State",10,"Real Estate","Property - Indirect Asia","Property - Listed",0.84,12.3,1.55,3,24.88,-5.76,13.55,11.47,10.08,"FTPPA","GBP","Active",0,0,0.75,"6months",NA,"FirstStateAsianPropertySecuritiesBAcc"
"84","Kames Diversified Growth Fund B Acc","GB00B625LX43","Kames",318,"Real Estate","","",1.04,6.2,0.6,1,-0.76,2.43,9.49,-0.3,10.08,"AEINA","GBP","Active",0,0,0.55,"Quarter",0,"KamesDiversifiedGrowthFundBAcc"
"85","HSBC World Selection Income Portfolio C Acc","GB00B82SVC61","HSBC",550,"Financial Services","","",1.23,5.59,1.02,NA,7.88,4.79,5.21,4.8,10.1,"HSWPA","GBP","Active",0,0,0.55,"Quarter",NA,"HSBCWorldSelectionIncomePortfolioCAcc"
"86","CF Prudential Dynamic Focused 0-30 Portfolio P Inc","GB00BF232G18","Prudential",274,"Financial Services","","",1.49,4.54,0.83,NA,NA,NA,0.9,8.1,10.11,"PRMVI","GBP","Active",0,0,0.6,"1year",1.91,"CFPrudentialDynamicFocused0-30PortfolioPInc"
